,time,type,component,response,type_stim,scroll,stimuli,filename,congruency,emotion,response_time,correct,subject
91,577.3202,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-44.png',cong-ha-44.png,cong,happy,1.2331000000000358,True,cey
92,582.9092,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-17.png',incong-ha-17.png,incong,happy,1.2521999999999025,True,cey
93,588.4982,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-6.png',incong-sa-6.png,incong,sad,1.2549999999999955,True,cey
94,593.519,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-6.png',cong-ha-6.png,cong,happy,1.330000000000041,True,cey
95,599.5759,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-52.png',cong-sa-52.png,cong,sad,1.2573999999999614,True,cey
96,604.4307,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-20.png',incong-sa-20.png,incong,sad,1.290399999999977,True,cey
97,609.2855,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-47.png',incong-ha-47.png,incong,happy,1.251800000000003,True,cey
98,614.5908,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-44.png',incong-ha-44.png,incong,happy,1.2424000000000888,True,cey
99,620.0295,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-42.png',incong-ha-42.png,incong,happy,1.3476000000000568,True,cey
100,625.6853,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-36.png',cong-ha-36.png,cong,happy,1.283900000000017,True,cey
101,630.1063,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-24.png',cong-ha-24.png,cong,happy,1.2469999999999573,True,cey
102,635.4617,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-8.png',incong-ha-8.png,incong,happy,1.267500000000041,True,cey
103,639.9829,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-1.png',cong-sa-1.png,cong,sad,1.3541999999999916,True,cey
104,644.8377,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-45.png',incong-ha-45.png,incong,happy,1.3553999999999178,True,cey
105,650.9272,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-2.png',cong-sa-2.png,cong,sad,1.241899999999987,True,cey
106,655.4817,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-18.png',cong-ha-18.png,cong,happy,1.5513999999999442,True,cey
107,130.6515,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-14.png',cong-ha-14.png,cong,happy,0.8246000000000038,True,kjy
108,140.3953,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-31.png',cong-sa-31.png,cong,sad,1.7878000000000043,False,kjy
109,145.6506,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-5.png',incong-sa-5.png,incong,sad,1.1724000000000103,True,kjy
110,150.1718,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-25.png',cong-sa-25.png,cong,sad,1.0992999999999995,True,kjy
111,155.1767,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-5.png',cong-sa-5.png,cong,sad,1.430499999999995,False,kjy
112,161.3996,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-31.png',cong-ha-31.png,cong,happy,1.1756000000000029,True,kjy
113,167.389,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-36.png',cong-ha-36.png,cong,happy,0.9861999999999966,False,kjy
114,171.8601,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-41.png',cong-ha-41.png,cong,happy,0.8591000000000122,True,kjy
115,182.8211,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-1.png',cong-sa-1.png,cong,sad,0.9368000000000052,False,kjy
116,193.1639,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-26.png',incong-sa-26.png,incong,sad,2.7550999999999988,True,kjy
117,200.8549,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-39.png',incong-ha-39.png,incong,happy,1.1283000000000243,True,kjy
118,205.2601,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-18.png',incong-ha-18.png,incong,happy,1.0910000000000082,True,kjy
119,210.8161,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-3.png',incong-ha-3.png,incong,happy,1.4869999999999948,True,kjy
120,216.755,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-6.png',cong-ha-6.png,cong,happy,0.8935000000000173,True,kjy
121,227.1487,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-22.png',cong-ha-22.png,cong,happy,1.3384000000000071,True,kjy
122,231.6531,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-21.png',incong-ha-21.png,incong,happy,1.4899000000000058,True,kjy
123,238.1597,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-35.png',cong-ha-35.png,cong,happy,1.7673000000000059,False,kjy
124,243.0646,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-22.png',incong-sa-22.png,incong,sad,1.926499999999976,True,kjy
125,249.2533,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-4.png',cong-ha-4.png,cong,happy,1.8819000000000017,False,kjy
126,254.6265,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-30.png',cong-sa-30.png,cong,sad,5.276600000000002,True,kjy
127,263.9855,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-9.png',incong-ha-9.png,incong,happy,3.6537999999999897,True,kjy
128,271.2252,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-46.png',incong-sa-46.png,incong,sad,1.2620000000000005,True,kjy
129,277.3822,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-14.png',incong-sa-14.png,incong,sad,0.8857999999999606,True,kjy
130,288.4758,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-16.png',incong-ha-16.png,incong,happy,1.1152999999999906,True,kjy
131,293.7322,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-30.png',cong-ha-30.png,cong,happy,1.2270000000000323,True,kjy
132,299.7045,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-32.png',incong-sa-32.png,incong,sad,0.9986000000000104,True,kjy
133,305.8106,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-9.png',cong-ha-9.png,cong,happy,0.8173999999999637,True,kjy
134,313.4349,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-41.png',incong-ha-41.png,incong,happy,2.5961999999999534,True,kjy
135,320.1417,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-19.png',incong-ha-19.png,incong,happy,3.033299999999997,True,kjy
136,326.6814,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-24.png',cong-sa-24.png,cong,sad,2.133699999999976,True,kjy
137,333.0712,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-11.png',cong-ha-11.png,cong,happy,2.184000000000026,True,kjy
138,339.4943,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-15.png',incong-ha-15.png,incong,happy,5.248899999999992,True,kjy
139,348.9204,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-39.png',cong-sa-39.png,cong,sad,1.0067000000000235,True,kjy
140,353.9921,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-7.png',cong-sa-7.png,cong,sad,1.1680999999999813,True,kjy
141,358.3798,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-13.png',cong-sa-13.png,cong,sad,1.459600000000023,True,kjy
142,364.9022,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-38.png',incong-sa-38.png,incong,sad,0.9189999999999827,True,kjy
143,370.5745,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-43.png',cong-ha-43.png,cong,happy,2.5686999999999784,True,kjy
144,378.2823,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-13.png',incong-sa-13.png,incong,sad,0.932899999999961,True,kjy
145,384.3725,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-29.png',incong-sa-29.png,incong,sad,0.9230000000000018,True,kjy
146,390.8289,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-25.png',incong-sa-25.png,incong,sad,0.9031000000000518,True,kjy
147,395.5336,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-2.png',incong-sa-2.png,incong,sad,0.9376000000000317,True,kjy
148,402.9577,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-14.png',incong-ha-14.png,incong,happy,1.6654000000000337,True,kjy
149,408.6133,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-33.png',cong-ha-33.png,cong,happy,1.1858000000000288,True,kjy
150,413.0169,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-2.png',cong-sa-2.png,cong,sad,1.1021000000000072,True,kjy
151,418.3397,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-10.png',incong-sa-10.png,incong,sad,0.8754000000000133,True,kjy
152,423.0269,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-4.png',incong-sa-4.png,incong,sad,1.035699999999963,True,kjy
153,427.9152,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-SA\\cong-sa-34.png',cong-sa-34.png,cong,sad,1.0678999999999519,True,kjy
154,432.8544,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-20.png',incong-ha-20.png,incong,happy,1.192799999999977,True,kjy
155,437.509,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-20.png',incong-sa-20.png,incong,sad,1.0341999999999985,True,kjy
156,443.5149,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-45.png',incong-ha-45.png,incong,happy,1.9003999999999905,True,kjy
157,449.4709,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-12.png',cong-ha-12.png,cong,happy,0.8346000000000231,True,kjy
158,456.3277,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-HA\\incong-ha-33.png',incong-ha-33.png,incong,happy,1.3673000000000002,True,kjy
159,462.6832,EXP,unnamed,Right,image,=,'stimuli-ha-sa\\incong-cong-SA\\incong-sa-30.png',incong-sa-30.png,incong,sad,0.9315000000000282,True,kjy
160,469.3065,EXP,unnamed,Left,image,=,'stimuli-ha-sa\\incong-cong-HA\\cong-ha-34.png',cong-ha-34.png,cong,happy,1.5646999999999593,True,kjy
